,Gross domestic product 2012,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 16,244,600 ",,,,,
CHN,2,,China," 8,227,103 ",,,,,
JPN,3,,Japan," 5,961,066 ",,,,,
DEU,4,,Germany," 3,428,131 ",,,,,
FRA,5,,France," 2,612,878 ",,,,,
GBR,6,,United Kingdom," 2,475,782 ",,,,,
BRA,7,,Brazil," 2,252,664 ",,,,,
RUS,8,,Russian Federation," 2,014,775 ",,,,,
ITA,9,,Italy," 2,014,670 ",,,,,
IND,10,,India," 1,858,740 ",,,,,
CAN,11,,Canada," 1,779,635 ",,,,,
AUS,12,,Australia," 1,532,408 ",,,,,
ESP,13,,Spain," 1,322,965 ",,,,,
MEX,14,,Mexico," 1,178,126 ",,,,,
KOR,15,,"Korea, Rep."," 1,129,598 ",,,,,
IDN,16,,Indonesia," 878,043 ",,,,,
TUR,17,,Turkey," 789,257 ",,,,,
NLD,18,,Netherlands," 770,555 ",,,,,
SAU,19,,Saudi Arabia," 711,050 ",,,,,
CHE,20,,Switzerland," 631,173 ",,,,,
IRN,21,,"Iran, Islamic Rep."," 552,397 ",,,,,
SWE,22,,Sweden," 523,942 ",,,,,
NOR,23,,Norway," 500,030 ",,,,,
POL,24,,Poland," 489,795 ",,,,,
BEL,25,,Belgium," 483,262 ",,,,,
ARG,26,,Argentina," 475,502 ",,,,,
AUT,27,,Austria," 394,708 ",,,,,
ZAF,28,,South Africa," 384,313 ",,,,,
ARE,29,,United Arab Emirates," 383,799 ",,,,,
VEN,30,,"Venezuela, RB"," 381,286 ",,,,,
COL,31,,Colombia," 369,606 ",,,,,
THA,32,,Thailand," 365,966 ",,,,,
DNK,33,,Denmark," 315,163 ",,,,,
MYS,34,,Malaysia," 305,033 ",,,,,
SGP,35,,Singapore," 274,701 ",,,,,
CHL,36,,Chile," 269,869 ",,,,,
HKG,37,,"Hong Kong SAR, China"," 263,259 ",,,,,
EGY,38,,"Egypt, Arab Rep."," 262,832 ",,,,,
NGA,39,,Nigeria," 262,597 ",,,,,
ISR,40,,Israel," 257,622 ",,,,,
PHL,41,,Philippines," 250,182 ",,,,,
GRC,42,,Greece," 249,099 ",,,,,
FIN,43,,Finland," 247,546 ",,,,,
PAK,44,,Pakistan," 225,143 ",,,,,
IRQ,45,,Iraq," 215,838 ",,,,,
PRT,46,,Portugal," 212,274 ",,,,,
IRL,47,,Ireland," 210,772 ",,,,,
DZA,48,,Algeria," 205,789 ",,,,,
PER,49,,Peru," 203,790 ",,,,,
KAZ,50,,Kazakhstan," 203,521 ",,,,,
CZE,51,,Czech Republic," 196,446 ",,,,,
QAT,52,,Qatar," 192,390 ",,,,,
KWT,53,,Kuwait," 183,243 ",,,,,
UKR,54,,Ukraine," 176,309 ",,,,,
NZL,55,,New Zealand," 171,281 ",,,,,
ROM,56,,Romania," 169,396 ",,,,,
VNM,57,,Vietnam," 155,820 ",,,,,
HUN,58,,Hungary," 124,600 ",,,,,
BGD,59,,Bangladesh," 116,355 ",,,,,
AGO,60,,Angola," 114,147 ",,,,,
PRI,61,,Puerto Rico," 101,496 ",,,,,
MAR,62,,Morocco," 95,982 ",a,,,,
SVK,63,,Slovak Republic," 91,149 ",,,,,
ECU,64,,Ecuador," 84,040 ",,,,,
OMN,65,,Oman," 78,111 ",,,,,
CUB,66,,Cuba,"68,234",,,,,
AZE,67,,Azerbaijan," 66,605 ",,,,,
BLR,68,,Belarus," 63,267 ",,,,,
LKA,69,,Sri Lanka," 59,423 ",,,,,
HRV,70,,Croatia," 59,228 ",,,,,
DOM,71,,Dominican Republic," 59,047 ",,,,,
SDN,72,,Sudan," 58,769 ",b,,,,
LUX,73,,Luxembourg," 55,178 ",,,,,
UZB,74,,Uzbekistan," 51,113 ",,,,,
BGR,75,,Bulgaria," 50,972 ",,,,,
GTM,76,,Guatemala," 50,234 ",,,,,
URY,77,,Uruguay," 49,920 ",,,,,
TUN,78,,Tunisia," 45,662 ",,,,,
SVN,79,,Slovenia," 45,279 ",,,,,
CRI,80,,Costa Rica," 45,104 ",,,,,
MAC,81,,"Macao SAR, China"," 43,582 ",,,,,
LBN,82,,Lebanon," 42,945 ",,,,,
LTU,83,,Lithuania," 42,344 ",,,,,
ETH,84,,Ethiopia," 41,605 ",,,,,
GHA,85,,Ghana," 40,711 ",,,,,
KEN,86,,Kenya," 40,697 ",,,,,
SRB,87,,Serbia," 37,489 ",,,,,
PAN,88,,Panama," 36,253 ",,,,,
YEM,89,,"Yemen, Rep."," 35,646 ",,,,,
TKM,90,,Turkmenistan," 35,164 ",,,,,
JOR,91,,Jordan," 31,015 ",,,,,
BHR,92,,Bahrain," 30,362 ",,,,,
LVA,93,,Latvia," 28,373 ",,,,,
TZA,94,,Tanzania," 28,242 ",c,,,,
BOL,95,,Bolivia," 27,035 ",,,,,
PRY,96,,Paraguay," 25,502 ",,,,,
CMR,97,,Cameroon," 25,322 ",,,,,
CIV,98,,Côte d'Ivoire," 24,680 ",,,,,
SLV,99,,El Salvador," 23,864 ",,,,,
TTO,100,,Trinidad and Tobago," 23,320 ",,,,,
CYP,101,,Cyprus," 22,767 ",d,,,,
EST,102,,Estonia," 22,390 ",,,,,
ZMB,103,,Zambia," 20,590 ",,,,,
AFG,104,,Afghanistan," 20,497 ",,,,,
UGA,105,,Uganda," 20,032 ",,,,,
NPL,106,,Nepal," 18,963 ",,,,,
HND,107,,Honduras," 18,434 ",,,,,
GAB,108,,Gabon," 18,377 ",,,,,
GNQ,109,,Equatorial Guinea," 17,697 ",,,,,
BIH,110,,Bosnia and Herzegovina," 17,466 ",,,,,
